"","Fecha","percentil","ingresos","base","perc_change"
"1",Dec 2010,"i",223.946266967442,254.686645286176,-12.069882299558
"2",Dec 2010,"ii",331.109964919233,389.224001261891,-14.9307432620414
"3",Dec 2010,"iii",443.652921252196,528.143312176449,-15.9976258292608
"4",Dec 2010,"iv",653.231542515199,777.821710123609,-16.0178310770742
"5",Dec 2010,"v",1458.60705972224,1917.77998432377,-23.9429407103462
"6",Dec 2011,"i",231.94267784771,254.686645286176,-8.93017669336742
"7",Dec 2011,"ii",341.210532054367,389.224001261891,-12.335690772373
"8",Dec 2011,"iii",459.007146016439,528.143312176449,-13.0904178025287
"9",Dec 2011,"iv",661.857697625481,777.821710123609,-14.9088166335315
"10",Dec 2011,"v",1436.45191342773,1917.77998432377,-25.0981903466765
"11",Dec 2012,"i",254.686645286176,254.686645286176,0
"12",Dec 2012,"ii",389.224001261891,389.224001261891,0
"13",Dec 2012,"iii",528.143312176449,528.143312176449,0
"14",Dec 2012,"iv",777.821710123609,777.821710123609,0
"15",Dec 2012,"v",1917.77998432377,1917.77998432377,0
"16",Dec 2013,"i",276.999784315628,254.686645286176,8.7610165049604
"17",Dec 2013,"ii",412.42374388326,389.224001261891,5.96051182510698
"18",Dec 2013,"iii",548.615816094994,528.143312176449,3.87631603895126
"19",Dec 2013,"iv",803.851400243979,777.821710123609,3.3464854196771
"20",Dec 2013,"v",1506.90916735502,1917.77998432377,-21.4242937316725
"21",Dec 2014,"i",271.645631679611,254.686645286176,6.65876547016392
"22",Dec 2014,"ii",404.073765299006,389.224001261891,3.81522310776614
"23",Dec 2014,"iii",527.279037571451,528.143312176449,-0.163643955167477
"24",Dec 2014,"iv",712.994708639587,777.821710123609,-8.33442942518533
"25",Dec 2014,"v",1440.04221257037,1917.77998432377,-24.9109791351721
"26",Dec 2015,"i",274.679758146932,254.686645286176,7.85008292770555
"27",Dec 2015,"ii",411.221300124501,389.224001261891,5.65157821493378
"28",Dec 2015,"iii",545.54459771256,528.143312176449,3.29480372749601
"29",Dec 2015,"iv",747.389570822088,777.821710123609,-3.91248263007282
"30",Dec 2015,"v",1439.38943245706,1917.77998432377,-24.9450174564938
"31",Dec 2016,"i",292.299196788114,254.686645286176,14.7681679420902
"32",Dec 2016,"ii",427.225347914282,389.224001261891,9.76336159362936
"33",Dec 2016,"iii",554.73798609745,528.143312176449,5.03550330144393
"34",Dec 2016,"iv",763.06747462554,777.821710123609,-1.89686599204397
"35",Dec 2016,"v",1414.37185820321,1917.77998432377,-26.2495244624251
"36",Dec 2017,"i",299.391837636132,254.686645286176,17.5530178662188
"37",Dec 2017,"ii",430.929541653887,389.224001261891,10.7150484699772
"38",Dec 2017,"iii",549.99488813821,528.143312176449,4.13743305234932
"39",Dec 2017,"iv",748.345943879579,777.821710123609,-3.78952732488609
"40",Dec 2017,"v",1393.22496839742,1917.77998432377,-27.3521999506797
"41",Dec 2018,"i",285.05509361253,254.686645286176,11.923847947438
"42",Dec 2018,"ii",430.528322660821,389.224001261891,10.6119666991293
"43",Dec 2018,"iii",551.560747579457,528.143312176449,4.43391686747029
"44",Dec 2018,"iv",752.247326857871,777.821710123609,-3.28794927332048
"45",Dec 2018,"v",1362.5851828407,1917.77998432377,-28.9498694334762
"46",Dec 2019,"i",306.714135322836,254.686645286176,20.4280401032414
"47",Dec 2019,"ii",438.236028262353,389.224001261891,12.592241701838
"48",Dec 2019,"iii",565.612683691319,528.143312176449,7.09454624360588
"49",Dec 2019,"iv",780.268139477712,777.821710123609,0.314523151290599
"50",Dec 2019,"v",1508.6994892688,1917.77998432377,-21.3309398574842
"51",Dec 2020,"i",305.706554694356,254.686645286176,20.0324242956879
"52",Dec 2020,"ii",444.075578737855,389.224001261891,14.0925475556831
"53",Dec 2020,"iii",565.455129072733,528.143312176449,7.06471445080377
"54",Dec 2020,"iv",801.291282675932,777.821710123609,3.01734603789768
"55",Dec 2020,"v",1687.38501929769,1917.77998432377,-12.0136286179523
"56",Dec 2021,"i",323.428744444404,254.686645286176,26.9908534391296
"57",Dec 2021,"ii",452.982083114986,389.224001261891,16.3808196941575
"58",Dec 2021,"iii",574.431782481609,528.143312176449,8.76437687233169
"59",Dec 2021,"iv",798.085399744364,777.821710123609,2.6051843702761
"60",Dec 2021,"v",1564.77791826151,1917.77998432377,-18.4068072952971
"61",Dec 2022,"i",351.996304870279,254.686645286176,38.2076019238315
"62",Dec 2022,"ii",481.820999438845,389.224001261891,23.7901562793528
"63",Dec 2022,"iii",618.762576695632,528.143312176449,17.1580823670276
"64",Dec 2022,"iv",866.71769378638,777.821710123609,11.4288380622141
"65",Dec 2022,"v",1623.35488583966,1917.77998432377,-15.3523918745002
"66",Dec 2023,"i",350.76189796105,254.686645286176,37.7229251918254
"67",Dec 2023,"ii",474.911277414153,389.224001261891,22.0149003849861
"68",Dec 2023,"iii",602.750536915385,528.143312176449,14.1263219695963
"69",Dec 2023,"iv",805.092065957714,777.821710123609,3.50599057331164
"70",Dec 2023,"v",1506.17990983266,1917.77998432377,-21.4623198623194
