"","edad_gama","quintil","Sexo","Fecha","ingresos","trend","base","perc_change2010"
"77","25-29","i","mujer",Mar 2006,152.025922468072,160.664839938232,NA,NA
"79","25-29","i","mujer",Apr 2006,145.697567409559,161.488076825745,NA,NA
"81","25-29","i","mujer",May 2006,176.780511751893,162.160686406102,NA,NA
"83","25-29","i","mujer",Jun 2006,180.342319616229,164.174339474354,NA,NA
"85","25-29","i","mujer",Jul 2006,157.072027126834,166.258006647782,NA,NA
"87","25-29","i","mujer",Aug 2006,187.29452706285,166.679855731019,NA,NA
"89","25-29","i","mujer",Sep 2006,190.661422180374,166.732725565786,NA,NA
"91","25-29","i","mujer",Oct 2006,158.173139612768,168.176936447747,NA,NA
"93","25-29","i","mujer",Nov 2006,156.703597537685,169.777315039217,NA,NA
"95","25-29","i","mujer",Dec 2006,187.746663393198,170.171521447261,NA,NA
"97","25-29","i","mujer",Jan 2007,156.617363481006,171.787161846035,NA,NA
"99","25-29","i","mujer",Feb 2007,150.767098764831,173.240586597005,NA,NA
"101","25-29","i","mujer",Mar 2007,153.847015236338,173.660707690476,NA,NA
"103","25-29","i","mujer",Apr 2007,178.537535808364,175.383375081144,NA,NA
"105","25-29","i","mujer",May 2007,182.34962954837,177.842404621151,NA,NA
"107","25-29","i","mujer",Jun 2007,184.234155612792,179.191784631103,NA,NA
"109","25-29","i","mujer",Jul 2007,191.955560700848,180.41065783823,NA,NA
