"","edad_gama","quintil","sexo","Fecha","perc_change","fuente"
"1","25-29","i","mujer",Apr 2003,NA,"Seguro Cesantía"
"2","25-29","i","mujer",May 2003,NA,"Seguro Cesantía"
"3","25-29","i","mujer",Jun 2003,NA,"Seguro Cesantía"
"4","25-29","i","mujer",Jul 2003,NA,"Seguro Cesantía"
"5","25-29","i","mujer",Aug 2003,NA,"Seguro Cesantía"
"6","25-29","i","mujer",Sep 2003,NA,"Seguro Cesantía"
"7","25-29","i","mujer",Oct 2003,NA,"Seguro Cesantía"
"8","25-29","i","mujer",Nov 2003,NA,"Seguro Cesantía"
"9","25-29","i","mujer",Dec 2003,NA,"Seguro Cesantía"
"10","25-29","i","mujer",Jan 2004,NA,"Seguro Cesantía"
"11","25-29","i","mujer",Feb 2004,NA,"Seguro Cesantía"
"12","25-29","i","mujer",Mar 2004,NA,"Seguro Cesantía"
"13","25-29","i","mujer",Apr 2004,NA,"Seguro Cesantía"
"14","25-29","i","mujer",May 2004,NA,"Seguro Cesantía"
"15","25-29","i","mujer",Jun 2004,NA,"Seguro Cesantía"
"16","25-29","i","mujer",Jul 2004,NA,"Seguro Cesantía"
"17","25-29","i","mujer",Aug 2004,NA,"Seguro Cesantía"
"18","25-29","i","mujer",Sep 2004,NA,"Seguro Cesantía"
"19","25-29","i","mujer",Oct 2004,NA,"Seguro Cesantía"
"20","25-29","i","mujer",Nov 2004,NA,"Seguro Cesantía"
"21","25-29","i","mujer",Dec 2004,NA,"Seguro Cesantía"
"22","25-29","i","mujer",Jan 2005,NA,"Seguro Cesantía"
"23","25-29","i","mujer",Feb 2005,NA,"Seguro Cesantía"
"24","25-29","i","mujer",Mar 2005,NA,"Seguro Cesantía"
"25","25-29","i","mujer",Apr 2005,NA,"Seguro Cesantía"
"26","25-29","i","mujer",May 2005,NA,"Seguro Cesantía"
"27","25-29","i","mujer",Jun 2005,NA,"Seguro Cesantía"
"28","25-29","i","mujer",Jul 2005,NA,"Seguro Cesantía"
"29","25-29","i","mujer",Aug 2005,NA,"Seguro Cesantía"
"30","25-29","i","mujer",Sep 2005,NA,"Seguro Cesantía"
"31","25-29","i","mujer",Oct 2005,NA,"Seguro Cesantía"
"32","25-29","i","mujer",Nov 2005,NA,"Seguro Cesantía"
"33","25-29","i","mujer",Dec 2005,NA,"Seguro Cesantía"
"34","25-29","i","mujer",Jan 2006,NA,"Seguro Cesantía"
"35","25-29","i","mujer",Feb 2006,NA,"Seguro Cesantía"
"36","25-29","i","mujer",Mar 2006,NA,"Seguro Cesantía"
"37","25-29","i","mujer",Apr 2006,NA,"Seguro Cesantía"
"38","25-29","i","mujer",May 2006,NA,"Seguro Cesantía"
"39","25-29","i","mujer",Jun 2006,NA,"Seguro Cesantía"
"40","25-29","i","mujer",Jul 2006,NA,"Seguro Cesantía"
"41","25-29","i","mujer",Aug 2006,NA,"Seguro Cesantía"
"42","25-29","i","mujer",Sep 2006,NA,"Seguro Cesantía"
"43","25-29","i","mujer",Oct 2006,NA,"Seguro Cesantía"
"44","25-29","i","mujer",Nov 2006,NA,"Seguro Cesantía"
"45","25-29","i","mujer",Dec 2006,NA,"Seguro Cesantía"
"46","25-29","i","mujer",Jan 2007,NA,"Seguro Cesantía"
"47","25-29","i","mujer",Feb 2007,NA,"Seguro Cesantía"
"48","25-29","i","mujer",Mar 2007,NA,"Seguro Cesantía"
"49","25-29","i","mujer",Apr 2007,NA,"Seguro Cesantía"
"50","25-29","i","mujer",May 2007,NA,"Seguro Cesantía"
"51","25-29","i","mujer",Jun 2007,NA,"Seguro Cesantía"
"52","25-29","i","mujer",Jul 2007,NA,"Seguro Cesantía"
"53","25-29","i","mujer",Aug 2007,NA,"Seguro Cesantía"
"54","25-29","i","mujer",Sep 2007,NA,"Seguro Cesantía"
"55","25-29","i","mujer",Oct 2007,NA,"Seguro Cesantía"
"56","25-29","i","mujer",Nov 2007,NA,"Seguro Cesantía"
"57","25-29","i","mujer",Dec 2007,NA,"Seguro Cesantía"
"58","25-29","i","mujer",Jan 2008,NA,"Seguro Cesantía"
"59","25-29","i","mujer",Feb 2008,NA,"Seguro Cesantía"
"60","25-29","i","mujer",Mar 2008,NA,"Seguro Cesantía"
"61","25-29","i","mujer",Apr 2008,NA,"Seguro Cesantía"
"62","25-29","i","mujer",May 2008,NA,"Seguro Cesantía"
"63","25-29","i","mujer",Jun 2008,NA,"Seguro Cesantía"
"64","25-29","i","mujer",Jul 2008,NA,"Seguro Cesantía"
"65","25-29","i","mujer",Aug 2008,NA,"Seguro Cesantía"
"66","25-29","i","mujer",Sep 2008,NA,"Seguro Cesantía"
"67","25-29","i","mujer",Oct 2008,NA,"Seguro Cesantía"
"68","25-29","i","mujer",Nov 2008,NA,"Seguro Cesantía"
"69","25-29","i","mujer",Dec 2008,NA,"Seguro Cesantía"
"70","25-29","i","mujer",Jan 2009,NA,"Seguro Cesantía"
"71","25-29","i","mujer",Feb 2009,NA,"Seguro Cesantía"
"72","25-29","i","mujer",Mar 2009,NA,"Seguro Cesantía"
"73","25-29","i","mujer",Apr 2009,NA,"Seguro Cesantía"
"74","25-29","i","mujer",May 2009,NA,"Seguro Cesantía"
"75","25-29","i","mujer",Jun 2009,NA,"Seguro Cesantía"
"76","25-29","i","mujer",Jul 2009,NA,"Seguro Cesantía"
"77","25-29","i","mujer",Aug 2009,NA,"Seguro Cesantía"
"78","25-29","i","mujer",Sep 2009,NA,"Seguro Cesantía"
"79","25-29","i","mujer",Oct 2009,NA,"Seguro Cesantía"
"80","25-29","i","mujer",Nov 2009,NA,"Seguro Cesantía"
"81","25-29","i","mujer",Dec 2009,NA,"Seguro Cesantía"
"82","25-29","i","mujer",Jan 2010,NA,"Seguro Cesantía"
"83","25-29","i","mujer",Feb 2010,NA,"Seguro Cesantía"
"84","25-29","i","mujer",Mar 2010,NA,"Seguro Cesantía"
"85","25-29","i","mujer",Apr 2010,NA,"Seguro Cesantía"
"86","25-29","i","mujer",May 2010,NA,"Seguro Cesantía"
"87","25-29","i","mujer",Jun 2010,NA,"Seguro Cesantía"
"88","25-29","i","mujer",Jul 2010,NA,"Seguro Cesantía"
"89","25-29","i","mujer",Aug 2010,NA,"Seguro Cesantía"
"90","25-29","i","mujer",Sep 2010,NA,"Seguro Cesantía"
"91","25-29","i","mujer",Oct 2010,NA,"Seguro Cesantía"
"92","25-29","i","mujer",Nov 2010,NA,"Seguro Cesantía"
"93","25-29","i","mujer",Dec 2010,0,"Seguro Cesantía"
"94","25-29","i","mujer",Jan 2011,0.229797325699701,"Seguro Cesantía"
"95","25-29","i","mujer",Feb 2011,0.630585378622743,"Seguro Cesantía"
"96","25-29","i","mujer",Mar 2011,1.03501853758236,"Seguro Cesantía"
"97","25-29","i","mujer",Apr 2011,1.46913708761419,"Seguro Cesantía"
"98","25-29","i","mujer",May 2011,1.89393152872383,"Seguro Cesantía"
"99","25-29","i","mujer",Jun 2011,2.21222083914057,"Seguro Cesantía"
"100","25-29","i","mujer",Jul 2011,2.35863072063497,"Seguro Cesantía"
"101","25-29","i","mujer",Aug 2011,2.49704760532128,"Seguro Cesantía"
"102","25-29","i","mujer",Sep 2011,2.69343394221028,"Seguro Cesantía"
"103","25-29","i","mujer",Oct 2011,3.0746339152107,"Seguro Cesantía"
"104","25-29","i","mujer",Nov 2011,3.53302290776132,"Seguro Cesantía"
"105","25-29","i","mujer",Dec 2011,3.77269061380554,"Seguro Cesantía"
"106","25-29","i","mujer",Jan 2012,4.03196842102325,"Seguro Cesantía"
"107","25-29","i","mujer",Feb 2012,4.12427552657106,"Seguro Cesantía"
"108","25-29","i","mujer",Mar 2012,4.3903497052561,"Seguro Cesantía"
"109","25-29","i","mujer",Apr 2012,4.95866336337777,"Seguro Cesantía"
"110","25-29","i","mujer",May 2012,5.45281506496992,"Seguro Cesantía"
"111","25-29","i","mujer",Jun 2012,5.96958187217365,"Seguro Cesantía"
"112","25-29","i","mujer",Jul 2012,6.62067792534343,"Seguro Cesantía"
"113","25-29","i","mujer",Aug 2012,7.1150401235477,"Seguro Cesantía"
"114","25-29","i","mujer",Sep 2012,7.42104961643022,"Seguro Cesantía"
"115","25-29","i","mujer",Oct 2012,7.79263070069946,"Seguro Cesantía"
"116","25-29","i","mujer",Nov 2012,8.16460431553416,"Seguro Cesantía"
"117","25-29","i","mujer",Dec 2012,8.45471159827887,"Seguro Cesantía"
"118","25-29","i","mujer",Jan 2013,8.61066443727884,"Seguro Cesantía"
"119","25-29","i","mujer",Feb 2013,9.10959740117216,"Seguro Cesantía"
"120","25-29","i","mujer",Mar 2013,9.89708291344163,"Seguro Cesantía"
"121","25-29","i","mujer",Apr 2013,10.5177183215005,"Seguro Cesantía"
"122","25-29","i","mujer",May 2013,11.221782023217,"Seguro Cesantía"
"123","25-29","i","mujer",Jun 2013,11.8547882827523,"Seguro Cesantía"
"124","25-29","i","mujer",Jul 2013,12.5600202683687,"Seguro Cesantía"
"125","25-29","i","mujer",Aug 2013,13.5314721717314,"Seguro Cesantía"
"126","25-29","i","mujer",Sep 2013,14.3717659614128,"Seguro Cesantía"
"127","25-29","i","mujer",Oct 2013,15.0338526125681,"Seguro Cesantía"
"128","25-29","i","mujer",Nov 2013,15.7967996132577,"Seguro Cesantía"
"129","25-29","i","mujer",Dec 2013,16.6030975549476,"Seguro Cesantía"
"130","25-29","i","mujer",Jan 2014,17.4389031557643,"Seguro Cesantía"
"131","25-29","i","mujer",Feb 2014,18.1468750471958,"Seguro Cesantía"
"132","25-29","i","mujer",Mar 2014,18.413261566002,"Seguro Cesantía"
"133","25-29","i","mujer",Apr 2014,18.652921554025,"Seguro Cesantía"
"134","25-29","i","mujer",May 2014,18.9039914982655,"Seguro Cesantía"
"135","25-29","i","mujer",Jun 2014,19.1417758407123,"Seguro Cesantía"
"136","25-29","i","mujer",Jul 2014,19.2189747228453,"Seguro Cesantía"
"137","25-29","i","mujer",Aug 2014,19.2726427483841,"Seguro Cesantía"
"138","25-29","i","mujer",Sep 2014,19.4792532312872,"Seguro Cesantía"
"139","25-29","i","mujer",Oct 2014,19.5919416452416,"Seguro Cesantía"
"140","25-29","i","mujer",Nov 2014,19.8758945462381,"Seguro Cesantía"
"141","25-29","i","mujer",Dec 2014,20.3449116820589,"Seguro Cesantía"
"142","25-29","i","mujer",Jan 2015,20.6888313571636,"Seguro Cesantía"
"143","25-29","i","mujer",Feb 2015,20.8398041158855,"Seguro Cesantía"
"144","25-29","i","mujer",Mar 2015,21.1102343145018,"Seguro Cesantía"
"145","25-29","i","mujer",Apr 2015,21.332529026199,"Seguro Cesantía"
"146","25-29","i","mujer",May 2015,21.4727355060749,"Seguro Cesantía"
"147","25-29","i","mujer",Jun 2015,21.841690599297,"Seguro Cesantía"
"148","25-29","i","mujer",Jul 2015,22.3057234216707,"Seguro Cesantía"
"149","25-29","i","mujer",Aug 2015,22.5790211583933,"Seguro Cesantía"
"150","25-29","i","mujer",Sep 2015,22.9655895978771,"Seguro Cesantía"
"151","25-29","i","mujer",Oct 2015,23.3542547741767,"Seguro Cesantía"
"152","25-29","i","mujer",Nov 2015,23.318403058246,"Seguro Cesantía"
"153","25-29","i","mujer",Dec 2015,23.2174548843026,"Seguro Cesantía"
"154","25-29","i","mujer",Jan 2016,23.4357075978752,"Seguro Cesantía"
"155","25-29","i","mujer",Feb 2016,23.8397937192181,"Seguro Cesantía"
"156","25-29","i","mujer",Mar 2016,23.9285137412595,"Seguro Cesantía"
"157","25-29","i","mujer",Apr 2016,24.007210426319,"Seguro Cesantía"
"158","25-29","i","mujer",May 2016,24.2208064317182,"Seguro Cesantía"
"159","25-29","i","mujer",Jun 2016,24.2643543475542,"Seguro Cesantía"
"160","25-29","i","mujer",Jul 2016,24.3150752156619,"Seguro Cesantía"
"161","25-29","i","mujer",Aug 2016,24.632330959907,"Seguro Cesantía"
"162","25-29","i","mujer",Sep 2016,24.9458055181554,"Seguro Cesantía"
"163","25-29","i","mujer",Oct 2016,25.3724145749442,"Seguro Cesantía"
"164","25-29","i","mujer",Nov 2016,26.0759702601794,"Seguro Cesantía"
"165","25-29","i","mujer",Dec 2016,26.7456553205186,"Seguro Cesantía"
"166","25-29","i","mujer",Jan 2017,27.0517288737696,"Seguro Cesantía"
"167","25-29","i","mujer",Feb 2017,27.1231537543882,"Seguro Cesantía"
"168","25-29","i","mujer",Mar 2017,27.5984258023159,"Seguro Cesantía"
"169","25-29","i","mujer",Apr 2017,28.0387193471377,"Seguro Cesantía"
"170","25-29","i","mujer",May 2017,28.1253721756318,"Seguro Cesantía"
"171","25-29","i","mujer",Jun 2017,28.4384878476862,"Seguro Cesantía"
"172","25-29","i","mujer",Jul 2017,28.6893070731327,"Seguro Cesantía"
"173","25-29","i","mujer",Aug 2017,28.6023681972299,"Seguro Cesantía"
"174","25-29","i","mujer",Sep 2017,28.6770380553358,"Seguro Cesantía"
"175","25-29","i","mujer",Oct 2017,28.8710088903868,"Seguro Cesantía"
"176","25-29","i","mujer",Nov 2017,28.8977008230321,"Seguro Cesantía"
"177","25-29","i","mujer",Dec 2017,28.8657947152216,"Seguro Cesantía"
"178","25-29","i","mujer",Jan 2018,29.0166754526255,"Seguro Cesantía"
"179","25-29","i","mujer",Feb 2018,29.2197409684831,"Seguro Cesantía"
"180","25-29","i","mujer",Mar 2018,29.4004233875488,"Seguro Cesantía"
"181","25-29","i","mujer",Apr 2018,29.8238108386369,"Seguro Cesantía"
"182","25-29","i","mujer",May 2018,30.4099700427749,"Seguro Cesantía"
"183","25-29","i","mujer",Jun 2018,30.8107944963606,"Seguro Cesantía"
"184","25-29","i","mujer",Jul 2018,31.2358928576209,"Seguro Cesantía"
"185","25-29","i","mujer",Aug 2018,31.4379736220515,"Seguro Cesantía"
"186","25-29","i","mujer",Sep 2018,31.5711352523471,"Seguro Cesantía"
"187","25-29","i","mujer",Oct 2018,32.1224096739718,"Seguro Cesantía"
"188","25-29","i","mujer",Nov 2018,32.6881700064731,"Seguro Cesantía"
"189","25-29","i","mujer",Dec 2018,33.2205591534602,"Seguro Cesantía"
"190","25-29","i","mujer",Jan 2019,33.6853614813766,"Seguro Cesantía"
"191","25-29","i","mujer",Feb 2019,34.056134126078,"Seguro Cesantía"
"192","25-29","i","mujer",Mar 2019,34.3669119273932,"Seguro Cesantía"
"193","25-29","i","mujer",Apr 2019,34.5822198834396,"Seguro Cesantía"
"194","25-29","i","mujer",May 2019,34.634806767112,"Seguro Cesantía"
"195","25-29","i","mujer",Jun 2019,34.4612249014942,"Seguro Cesantía"
"196","25-29","i","mujer",Jul 2019,34.2289141381344,"Seguro Cesantía"
"197","25-29","i","mujer",Aug 2019,34.379796190343,"Seguro Cesantía"
"198","25-29","i","mujer",Sep 2019,34.0816132424493,"Seguro Cesantía"
"199","25-29","i","mujer",Oct 2019,32.7717516447271,"Seguro Cesantía"
"200","25-29","i","mujer",Nov 2019,32.5912740072533,"Seguro Cesantía"
"201","25-29","i","mujer",Dec 2019,33.7957271837407,"Seguro Cesantía"
"202","25-29","i","mujer",Jan 2020,34.8836633928552,"Seguro Cesantía"
"203","25-29","i","mujer",Feb 2020,35.6795204323535,"Seguro Cesantía"
"204","25-29","i","mujer",Mar 2020,36.0949298564584,"Seguro Cesantía"
"205","25-29","i","mujer",Apr 2020,35.9800141426337,"Seguro Cesantía"
"206","25-29","i","mujer",May 2020,35.8684217606193,"Seguro Cesantía"
"207","25-29","i","mujer",Jun 2020,36.0598488090901,"Seguro Cesantía"
"208","25-29","i","mujer",Jul 2020,35.6744226138496,"Seguro Cesantía"
"209","25-29","i","mujer",Aug 2020,35.2184416407875,"Seguro Cesantía"
"210","25-29","i","mujer",Sep 2020,35.9067288857276,"Seguro Cesantía"
"211","25-29","i","mujer",Oct 2020,37.3744193120903,"Seguro Cesantía"
"212","25-29","i","mujer",Nov 2020,37.688601649039,"Seguro Cesantía"
"213","25-29","i","mujer",Dec 2020,36.7059545009497,"Seguro Cesantía"
"214","25-29","i","mujer",Jan 2021,36.0090533164952,"Seguro Cesantía"
"215","25-29","i","mujer",Feb 2021,35.70420816874,"Seguro Cesantía"
"216","25-29","i","mujer",Mar 2021,35.6307198119998,"Seguro Cesantía"
"217","25-29","i","mujer",Apr 2021,35.8116719530973,"Seguro Cesantía"
"218","25-29","i","mujer",May 2021,36.0595326308214,"Seguro Cesantía"
"219","25-29","i","mujer",Jun 2021,36.3621998756333,"Seguro Cesantía"
"220","25-29","i","mujer",Jul 2021,36.4929641515446,"Seguro Cesantía"
"221","25-29","i","mujer",Aug 2021,36.3851767859546,"Seguro Cesantía"
"222","25-29","i","mujer",Sep 2021,36.151261597284,"Seguro Cesantía"
"223","25-29","i","mujer",Oct 2021,35.741840386516,"Seguro Cesantía"
"224","25-29","i","mujer",Nov 2021,35.688058856014,"Seguro Cesantía"
"225","25-29","i","mujer",Dec 2021,35.9221279587412,"Seguro Cesantía"
"226","25-29","i","mujer",Jan 2022,35.9040230821487,"Seguro Cesantía"
"227","25-29","i","mujer",Feb 2022,35.8667207340617,"Seguro Cesantía"
"228","25-29","i","mujer",Mar 2022,36.0195275970019,"Seguro Cesantía"
"229","25-29","i","mujer",Apr 2022,36.4660461641873,"Seguro Cesantía"
"230","25-29","i","mujer",May 2022,36.890158614763,"Seguro Cesantía"
"231","25-29","i","mujer",Jun 2022,36.8934933116101,"Seguro Cesantía"
"232","25-29","i","mujer",Jul 2022,37.6993624798663,"Seguro Cesantía"
"233","25-29","i","mujer",Aug 2022,38.7649445841285,"Seguro Cesantía"
"234","25-29","i","mujer",Sep 2022,39.132003978405,"Seguro Cesantía"
"235","25-29","i","mujer",Oct 2022,39.7061927899403,"Seguro Cesantía"
"236","25-29","i","mujer",Nov 2022,40.240149688916,"Seguro Cesantía"
"237","25-29","i","mujer",Dec 2022,40.6738584134821,"Seguro Cesantía"
"238","25-29","i","mujer",Jan 2023,41.387632893384,"Seguro Cesantía"
"239","25-29","i","mujer",Feb 2023,41.9986649884809,"Seguro Cesantía"
"240","25-29","i","mujer",Mar 2023,42.588480558774,"Seguro Cesantía"
"241","25-29","i","mujer",Apr 2023,43.2927853941241,"Seguro Cesantía"
"242","25-29","i","mujer",May 2023,44.052190490739,"Seguro Cesantía"
"243","25-29","i","mujer",Jun 2023,44.8685965474534,"Seguro Cesantía"
"244","25-29","i","mujer",Jul 2023,45.10615530587,"Seguro Cesantía"
"245","25-29","i","mujer",Aug 2023,44.7599353979331,"Seguro Cesantía"
"246","25-29","i","mujer",Sep 2023,45.1430618800694,"Seguro Cesantía"
"247","25-29","i","hombre",Apr 2003,NA,"Seguro Cesantía"
"248","25-29","i","hombre",May 2003,NA,"Seguro Cesantía"
"249","25-29","i","hombre",Jun 2003,NA,"Seguro Cesantía"
"250","25-29","i","hombre",Jul 2003,NA,"Seguro Cesantía"
"251","25-29","i","hombre",Aug 2003,NA,"Seguro Cesantía"
"252","25-29","i","hombre",Sep 2003,NA,"Seguro Cesantía"
"253","25-29","i","hombre",Oct 2003,NA,"Seguro Cesantía"
"254","25-29","i","hombre",Nov 2003,NA,"Seguro Cesantía"
"255","25-29","i","hombre",Dec 2003,NA,"Seguro Cesantía"
"256","25-29","i","hombre",Jan 2004,NA,"Seguro Cesantía"
"257","25-29","i","hombre",Feb 2004,NA,"Seguro Cesantía"
"258","25-29","i","hombre",Mar 2004,NA,"Seguro Cesantía"
"259","25-29","i","hombre",Apr 2004,NA,"Seguro Cesantía"
"260","25-29","i","hombre",May 2004,NA,"Seguro Cesantía"
"261","25-29","i","hombre",Jun 2004,NA,"Seguro Cesantía"
"262","25-29","i","hombre",Jul 2004,NA,"Seguro Cesantía"
"263","25-29","i","hombre",Aug 2004,NA,"Seguro Cesantía"
"264","25-29","i","hombre",Sep 2004,NA,"Seguro Cesantía"
"265","25-29","i","hombre",Oct 2004,NA,"Seguro Cesantía"
"266","25-29","i","hombre",Nov 2004,NA,"Seguro Cesantía"
"267","25-29","i","hombre",Dec 2004,NA,"Seguro Cesantía"
"268","25-29","i","hombre",Jan 2005,NA,"Seguro Cesantía"
"269","25-29","i","hombre",Feb 2005,NA,"Seguro Cesantía"
"270","25-29","i","hombre",Mar 2005,NA,"Seguro Cesantía"
"271","25-29","i","hombre",Apr 2005,NA,"Seguro Cesantía"
"272","25-29","i","hombre",May 2005,NA,"Seguro Cesantía"
"273","25-29","i","hombre",Jun 2005,NA,"Seguro Cesantía"
"274","25-29","i","hombre",Jul 2005,NA,"Seguro Cesantía"
"275","25-29","i","hombre",Aug 2005,NA,"Seguro Cesantía"
"276","25-29","i","hombre",Sep 2005,NA,"Seguro Cesantía"
"277","25-29","i","hombre",Oct 2005,NA,"Seguro Cesantía"
"278","25-29","i","hombre",Nov 2005,NA,"Seguro Cesantía"
"279","25-29","i","hombre",Dec 2005,NA,"Seguro Cesantía"
"280","25-29","i","hombre",Jan 2006,NA,"Seguro Cesantía"
"281","25-29","i","hombre",Feb 2006,NA,"Seguro Cesantía"
"282","25-29","i","hombre",Mar 2006,NA,"Seguro Cesantía"
"283","25-29","i","hombre",Apr 2006,NA,"Seguro Cesantía"
"284","25-29","i","hombre",May 2006,NA,"Seguro Cesantía"
"285","25-29","i","hombre",Jun 2006,NA,"Seguro Cesantía"
"286","25-29","i","hombre",Jul 2006,NA,"Seguro Cesantía"
"287","25-29","i","hombre",Aug 2006,NA,"Seguro Cesantía"
"288","25-29","i","hombre",Sep 2006,NA,"Seguro Cesantía"
"289","25-29","i","hombre",Oct 2006,NA,"Seguro Cesantía"
"290","25-29","i","hombre",Nov 2006,NA,"Seguro Cesantía"
"291","25-29","i","hombre",Dec 2006,NA,"Seguro Cesantía"
"292","25-29","i","hombre",Jan 2007,NA,"Seguro Cesantía"
"293","25-29","i","hombre",Feb 2007,NA,"Seguro Cesantía"
"294","25-29","i","hombre",Mar 2007,NA,"Seguro Cesantía"
"295","25-29","i","hombre",Apr 2007,NA,"Seguro Cesantía"
"296","25-29","i","hombre",May 2007,NA,"Seguro Cesantía"
"297","25-29","i","hombre",Jun 2007,NA,"Seguro Cesantía"
"298","25-29","i","hombre",Jul 2007,NA,"Seguro Cesantía"
"299","25-29","i","hombre",Aug 2007,NA,"Seguro Cesantía"
"300","25-29","i","hombre",Sep 2007,NA,"Seguro Cesantía"
"301","25-29","i","hombre",Oct 2007,NA,"Seguro Cesantía"
"302","25-29","i","hombre",Nov 2007,NA,"Seguro Cesantía"
"303","25-29","i","hombre",Dec 2007,NA,"Seguro Cesantía"
"304","25-29","i","hombre",Jan 2008,NA,"Seguro Cesantía"
"305","25-29","i","hombre",Feb 2008,NA,"Seguro Cesantía"
"306","25-29","i","hombre",Mar 2008,NA,"Seguro Cesantía"
"307","25-29","i","hombre",Apr 2008,NA,"Seguro Cesantía"
"308","25-29","i","hombre",May 2008,NA,"Seguro Cesantía"
"309","25-29","i","hombre",Jun 2008,NA,"Seguro Cesantía"
"310","25-29","i","hombre",Jul 2008,NA,"Seguro Cesantía"
"311","25-29","i","hombre",Aug 2008,NA,"Seguro Cesantía"
"312","25-29","i","hombre",Sep 2008,NA,"Seguro Cesantía"
"313","25-29","i","hombre",Oct 2008,NA,"Seguro Cesantía"
"314","25-29","i","hombre",Nov 2008,NA,"Seguro Cesantía"
"315","25-29","i","hombre",Dec 2008,NA,"Seguro Cesantía"
"316","25-29","i","hombre",Jan 2009,NA,"Seguro Cesantía"
"317","25-29","i","hombre",Feb 2009,NA,"Seguro Cesantía"
"318","25-29","i","hombre",Mar 2009,NA,"Seguro Cesantía"
"319","25-29","i","hombre",Apr 2009,NA,"Seguro Cesantía"
"320","25-29","i","hombre",May 2009,NA,"Seguro Cesantía"
"321","25-29","i","hombre",Jun 2009,NA,"Seguro Cesantía"
"322","25-29","i","hombre",Jul 2009,NA,"Seguro Cesantía"
"323","25-29","i","hombre",Aug 2009,NA,"Seguro Cesantía"
"324","25-29","i","hombre",Sep 2009,NA,"Seguro Cesantía"
"325","25-29","i","hombre",Oct 2009,NA,"Seguro Cesantía"
"326","25-29","i","hombre",Nov 2009,NA,"Seguro Cesantía"
"327","25-29","i","hombre",Dec 2009,NA,"Seguro Cesantía"
"328","25-29","i","hombre",Jan 2010,NA,"Seguro Cesantía"
"329","25-29","i","hombre",Feb 2010,NA,"Seguro Cesantía"
"330","25-29","i","hombre",Mar 2010,NA,"Seguro Cesantía"
"331","25-29","i","hombre",Apr 2010,NA,"Seguro Cesantía"
"332","25-29","i","hombre",May 2010,NA,"Seguro Cesantía"
"333","25-29","i","hombre",Jun 2010,NA,"Seguro Cesantía"
"334","25-29","i","hombre",Jul 2010,NA,"Seguro Cesantía"
"335","25-29","i","hombre",Aug 2010,NA,"Seguro Cesantía"
"336","25-29","i","hombre",Sep 2010,NA,"Seguro Cesantía"
"337","25-29","i","hombre",Oct 2010,NA,"Seguro Cesantía"
"338","25-29","i","hombre",Nov 2010,NA,"Seguro Cesantía"
"339","25-29","i","hombre",Dec 2010,0,"Seguro Cesantía"
"340","25-29","i","hombre",Jan 2011,0.109366944890441,"Seguro Cesantía"
"341","25-29","i","hombre",Feb 2011,0.39004132099911,"Seguro Cesantía"
"342","25-29","i","hombre",Mar 2011,0.530472197615344,"Seguro Cesantía"
"343","25-29","i","hombre",Apr 2011,0.634536057633165,"Seguro Cesantía"
"344","25-29","i","hombre",May 2011,0.824868423068481,"Seguro Cesantía"
"345","25-29","i","hombre",Jun 2011,1.04435677834868,"Seguro Cesantía"
"346","25-29","i","hombre",Jul 2011,1.24396093003548,"Seguro Cesantía"
"347","25-29","i","hombre",Aug 2011,1.37649027181384,"Seguro Cesantía"
"348","25-29","i","hombre",Sep 2011,1.45379365849496,"Seguro Cesantía"
"349","25-29","i","hombre",Oct 2011,1.50964119555497,"Seguro Cesantía"
"350","25-29","i","hombre",Nov 2011,1.56128618484018,"Seguro Cesantía"
"351","25-29","i","hombre",Dec 2011,1.68497134306839,"Seguro Cesantía"
"352","25-29","i","hombre",Jan 2012,1.86631781180011,"Seguro Cesantía"
"353","25-29","i","hombre",Feb 2012,2.00220210413776,"Seguro Cesantía"
"354","25-29","i","hombre",Mar 2012,2.83327700479102,"Seguro Cesantía"
"355","25-29","i","hombre",Apr 2012,3.67913278188554,"Seguro Cesantía"
"356","25-29","i","hombre",May 2012,3.89192272411121,"Seguro Cesantía"
"357","25-29","i","hombre",Jun 2012,4.63979512233392,"Seguro Cesantía"
"358","25-29","i","hombre",Jul 2012,5.30445408579936,"Seguro Cesantía"
"359","25-29","i","hombre",Aug 2012,5.47496028130421,"Seguro Cesantía"
"360","25-29","i","hombre",Sep 2012,5.74747630636627,"Seguro Cesantía"
"361","25-29","i","hombre",Oct 2012,6.00332397027861,"Seguro Cesantía"
"362","25-29","i","hombre",Nov 2012,6.22851144094398,"Seguro Cesantía"
"363","25-29","i","hombre",Dec 2012,6.54734826804634,"Seguro Cesantía"
"364","25-29","i","hombre",Jan 2013,6.43163183667125,"Seguro Cesantía"
"365","25-29","i","hombre",Feb 2013,6.45807112332024,"Seguro Cesantía"
"366","25-29","i","hombre",Mar 2013,6.43926522113601,"Seguro Cesantía"
"367","25-29","i","hombre",Apr 2013,6.34034512562679,"Seguro Cesantía"
"368","25-29","i","hombre",May 2013,6.76466209351105,"Seguro Cesantía"
"369","25-29","i","hombre",Jun 2013,6.75776101118985,"Seguro Cesantía"
"370","25-29","i","hombre",Jul 2013,6.77372722476931,"Seguro Cesantía"
"371","25-29","i","hombre",Aug 2013,7.24593741666219,"Seguro Cesantía"
"372","25-29","i","hombre",Sep 2013,7.67366183332045,"Seguro Cesantía"
"373","25-29","i","hombre",Oct 2013,8.00039600285805,"Seguro Cesantía"
"374","25-29","i","hombre",Nov 2013,8.2504421030795,"Seguro Cesantía"
